Student_ID,Student_Age,Gender,School,Scholarship,Additional_Work,Sports_activity,Transportation,Weekly_Study_Hours,Attendance,Physics,Chemistry,Math,Project_work,Grade
STUDENT1,19-22,Male,Other,50%,Yes,No,Private,0,Always,65,82,44,No,AA
STUDENT2,19-22,Male,Other,50%,Yes,No,Private,0,Always,63,43,45,Yes,AA
STUDENT3,19-22,Male,State,50%,No,No,Private,2,Never,95,86,54,Yes,AA
STUDENT4,18,Female,Private,50%,Yes,No,Bus,2,Always,77,47,92,No,AA
STUDENT5,19-22,Male,Private,50%,No,No,Bus,12,Always,61,59,91,Yes,AA
STUDENT6,19-22,Male,State,50%,No,No,Private,2,Always,65,95,66,Yes,BA
STUDENT7,18,Male,State,75%,No,No,Private,0,Always,47,89,58,Yes,CC
STUDENT8,18,Female,State,50%,Yes,Yes,Bus,2,Sometimes,41,69,40,Yes,BA
STUDENT9,19-22,Female,Other,50%,No,Yes,Bus,0,Always,70,80,81,Yes,CC
STUDENT10,19-22,Female,State,50%,No,No,Bus,12,Never,81,89,56,No,Fail
STUDENT11,18,Female,Private,50%,No,No,Private,12,Sometimes,48,89,91,Yes,BA
STUDENT12,18,Female,Private,75%,Yes,Yes,Private,8,Sometimes,69,56,40,Yes,Fail
STUDENT13,18,Female,Private,75%,No,No,Private,0,Always,78,42,63,No,Fail
STUDENT14,19-22,Female,State,100%,No,No,Private,0,Always,85,45,81,Yes,AA
STUDENT15,23-27,Male,State,75%,Yes,Yes,Private,12,Never,84,47,83,Yes,BA
STUDENT16,19-22,Male,State,50%,No,No,Private,0,Always,87,44,98,Yes,BA
STUDENT17,18,Female,State,100%,No,Yes,Private,0,Always,75,46,46,No,AA
STUDENT18,19-22,Male,State,50%,No,No,Private,0,Always,86,92,92,Yes,BA
STUDENT19,18,Female,State,75%,No,No,Private,12,Always,47,76,42,No,BA
STUDENT20,18,Male,Private,50%,No,No,Bus,2,Sometimes,50,66,76,No,BB
STUDENT21,18,Male,State,100%,Yes,No,Bus,0,Never,56,49,57,No,AA
STUDENT22,18,Male,State,100%,No,No,Bus,0,Never,65,48,68,No,AA
STUDENT23,19-22,Male,State,50%,Yes,No,Bus,0,Always,48,66,98,No,BB
STUDENT24,23-27,Male,State,25%,Yes,Yes,Private,12,Always,64,52,71,No,AA
STUDENT25,19-22,Male,State,50%,No,No,Private,2,Always,73,53,84,No,BA
STUDENT26,19-22,Male,State,50%,No,No,Bus,0,Always,92,94,55,No,BB
STUDENT27,19-22,Male,State,50%,No,Yes,Bus,0,Always,71,97,79,No,AA
STUDENT28,18,Male,Private,50%,Yes,No,Private,0,Always,73,64,49,No,AA
STUDENT29,23-27,Male,State,50%,No,No,Bus,0,Never,48,97,99,No,BB
STUDENT30,19-22,Male,Other,75%,No,No,Private,0,Never,69,63,73,Yes,CC
STUDENT31,19-22,Male,State,100%,Yes,Yes,Bus,0,Always,63,84,58,No,CC
STUDENT32,23-27,Male,State,50%,Yes,No,Private,0,Always,74,68,88,No,BB
STUDENT33,19-22,Female,State,50%,No,No,Private,2,Always,72,72,77,Yes,AA
STUDENT34,19-22,Female,State,50%,Yes,No,Bus,0,Always,42,89,77,No,BA
STUDENT35,18,Male,Private,50%,No,No,Bus,2,Always,47,85,72,No,BA
STUDENT36,18,Male,Private,75%,No,No,Private,12,Always,91,100,49,No,AA
STUDENT37,19-22,Male,Other,75%,Yes,No,Bus,12,Always,62,43,83,Yes,BA
STUDENT38,19-22,Male,State,50%,Yes,Yes,Bus,2,Sometimes,89,51,66,Yes,AA
STUDENT39,19-22,Male,State,100%,No,No,Private,0,Always,58,54,67,Yes,BA
STUDENT40,19-22,Female,State,50%,No,No,Bus,0,Always,69,75,82,Yes,AA
STUDENT41,18,Male,Private,50%,No,No,Private,2,Always,68,96,67,Yes,AA
STUDENT42,23-27,Male,State,50%,Yes,No,Private,2,Always,45,69,63,Yes,AA
STUDENT43,19-22,Male,State,50%,No,Yes,Private,0,Never,64,57,52,Yes,AA
STUDENT44,18,Male,State,50%,No,No,Bus,0,Always,72,43,52,No,CB
STUDENT45,19-22,Male,Other,50%,No,No,Bus,0,Always,95,47,48,Yes,AA
STUDENT46,18,Male,State,50%,No,No,Bus,8,Always,95,41,50,No,BB
STUDENT47,19-22,Male,State,50%,No,No,Bus,0,Always,100,86,67,No,CC
STUDENT48,19-22,Male,State,50%,No,No,Bus,0,Always,72,97,60,Yes,BB
STUDENT49,18,Male,State,50%,No,Yes,Bus,0,Always,71,51,57,No,AA
STUDENT50,18,Male,Private,75%,No,No,Private,2,Never,84,73,100,Yes,BA
STUDENT51,19-22,Male,State,50%,No,No,Bus,2,Sometimes,60,58,68,Yes,AA
STUDENT52,19-22,Female,Other,50%,Yes,Yes,Private,0,Always,73,58,77,No,CB
STUDENT53,19-22,Female,State,50%,Yes,No,Private,2,Always,83,43,84,No,AA
STUDENT54,19-22,Female,State,50%,No,Yes,Private,2,Always,69,47,64,No,CC
STUDENT55,19-22,Male,State,50%,No,No,Private,12,Never,67,54,82,Yes,BB
STUDENT56,23-27,Male,State,50%,Yes,No,Bus,8,Always,75,64,61,No,BB
STUDENT57,19-22,Male,State,50%,No,Yes,Private,0,Always,77,41,90,No,CC
STUDENT58,19-22,Male,State,50%,Yes,Yes,Private,0,Always,67,71,58,No,CB
STUDENT59,23-27,Male,State,50%,No,No,Bus,12,Always,58,95,54,No,BB
STUDENT60,19-22,Male,State,50%,No,Yes,Bus,0,Always,75,85,41,No,CC
STUDENT61,19-22,Female,State,50%,No,No,Private,12,Sometimes,54,82,82,No,BA
STUDENT62,18,Male,Other,50%,No,Yes,Private,2,Always,43,61,95,No,CC
STUDENT63,19-22,Male,State,50%,No,No,Private,0,Never,97,51,93,Yes,BB
STUDENT64,19-22,Male,State,75%,No,No,Bus,2,Always,92,65,66,No,CC
STUDENT65,19-22,Male,Other,100%,No,No,Private,0,Always,54,61,51,Yes,BB
STUDENT66,18,Male,State,50%,No,No,Bus,12,Always,51,50,88,No,BA
STUDENT67,19-22,Male,State,50%,No,No,Bus,0,Always,58,99,76,No,CC
STUDENT68,19-22,Male,Other,50%,Yes,Yes,Private,12,Always,91,91,94,No,AA
STUDENT69,19-22,Female,State,75%,Yes,No,Private,0,Always,42,52,64,No,CC
STUDENT70,19-22,Female,State,75%,No,No,Bus,0,Always,61,47,100,Yes,CC
STUDENT71,18,Male,State,75%,No,Yes,Bus,0,Always,56,97,83,Yes,DD
STUDENT72,18,Female,Other,75%,No,No,Private,0,Always,79,52,40,No,DC
STUDENT73,18,Male,State,50%,No,Yes,Bus,0,Always,46,94,75,Yes,DC
STUDENT74,19-22,Male,State,75%,No,No,Private,0,Always,64,48,58,No,DC
STUDENT75,18,Male,State,75%,No,No,Private,0,Always,59,74,43,No,DD
STUDENT76,18,Male,State,75%,No,Yes,Private,0,Always,54,86,49,No,DD
STUDENT77,19-22,Male,Private,25%,No,Yes,Private,2,Always,82,46,58,No,CB
STUDENT78,18,Male,Private,25%,No,No,Bus,2,Sometimes,74,64,90,Yes,DD
STUDENT79,19-22,Female,State,75%,Yes,Yes,Private,0,Always,91,53,85,No,CB
STUDENT80,19-22,Male,State,75%,No,No,Private,0,Always,45,95,61,No,BB
STUDENT81,19-22,Female,State,50%,Yes,No,Bus,0,Sometimes,60,82,61,Yes,CB
STUDENT82,23-27,Male,State,50%,Yes,No,Private,0,Always,61,61,66,No,BB
STUDENT83,19-22,Male,State,75%,Yes,No,Bus,2,Always,95,93,72,No,DD
STUDENT84,19-22,Male,Other,50%,No,No,Private,12,Always,79,44,69,Yes,DD
STUDENT85,23-27,Male,Other,50%,Yes,No,Bus,12,Always,79,92,60,No,DD
STUDENT86,18,Male,State,100%,No,No,Private,2,Always,42,48,59,No,CB
STUDENT87,19-22,Male,State,75%,No,No,Private,0,Never,50,51,54,Yes,CC
STUDENT88,19-22,Male,State,50%,No,Yes,Private,2,Always,96,45,78,Yes,DC
STUDENT89,18,Male,State,75%,No,Yes,Bus,0,Always,92,85,89,Yes,DC
STUDENT90,19-22,Male,State,50%,No,No,Private,0,Always,77,65,46,No,DC
STUDENT91,19-22,Female,State,50%,No,Yes,Bus,0,Sometimes,47,49,68,Yes,DC
STUDENT92,19-22,Male,State,100%,Yes,Yes,Bus,0,Always,100,87,70,No,DC
STUDENT93,18,Male,State,50%,No,No,Private,0,Always,41,93,98,No,DD
STUDENT94,18,Male,State,None,Yes,No,Bus,0,Always,68,87,92,No,CB
STUDENT95,19-22,Male,State,50%,No,No,Bus,0,Always,79,43,75,No,DC
STUDENT96,18,Male,Other,100%,Yes,Yes,Bus,0,Sometimes,95,76,77,Yes,CC
STUDENT97,18,Male,State,75%,No,Yes,Bus,0,Sometimes,54,51,71,No,DD
STUDENT98,18,Male,State,75%,Yes,No,Private,0,Always,57,62,100,No,DC
STUDENT99,18,Male,State,75%,No,Yes,Private,0,Never,50,56,59,Yes,DD
STUDENT100,19-22,Male,State,50%,No,No,Private,0,Never,95,46,62,Yes,DD
STUDENT101,18,Male,State,75%,No,No,Private,0,Sometimes,65,57,72,Yes,DC
